tenure,monthly_charges,support_calls,contract_type,churn
29,46.867735938494604,6,0,0
15,74.16342146608669,6,0,0
8,83.34782198261473,3,1,0
21,45.78876854332023,2,0,0
19,33.93560740728241,7,0,1
23,103.4930236799299,4,0,0
11,118.44021807035521,9,1,1
11,72.56901823026858,6,0,1
24,37.16792858483035,3,1,0
24,47.2307326519369,3,0,0
3,21.839067654746675,7,0,1
22,111.4298806560499,7,0,1
2,31.775108289014113,1,1,0
24,77.65164755142536,1,1,0
30,47.4055220687206,2,0,0
2,75.41780025157934,2,1,0
21,85.14203883518643,0,0,0
33,102.97418037072016,2,1,0
12,40.64212717606032,5,1,0
22,21.09958286584805,7,0,1
25,33.68856300688073,9,0,0
27,110.00186418481051,5,0,1
28,107.38900775625153,4,0,0
16,79.74131021703083,3,1,0
15,80.05168604336534,2,1,0
3,86.50366745462554,3,1,0
7,37.53712786234496,6,0,0
21,111.44119459249598,0,0,0
9,61.87705248920731,6,1,0
18,58.31385282494975,0,0,0
4,71.89177052828376,1,1,0
25,24.696596677505504,3,1,0
14,36.62833687560794,0,1,0
9,93.80336164263704,8,1,1
26,28.279866792512646,5,1,0
2,80.31521094663881,0,0,0
20,44.534910968132095,0,0,0
28,58.929561404197656,5,0,0
7,48.86937367706999,3,1,0
8,55.567271646494916,3,1,0
35,91.90459051842456,5,1,0
14,49.7121715623175,6,1,1
17,76.64046402968972,8,0,1
4,67.60504021990997,9,0,1
2,86.36711653626482,4,1,0
6,113.6829739324758,8,1,0
4,93.25720972102503,3,1,0
29,41.494037859075675,9,0,1
18,23.118313506128466,1,0,0
26,46.22640442998251,2,0,0
34,79.50779307002549,0,1,0
10,25.142581348425036,5,1,0
14,69.63662472012363,5,0,1
31,79.68428489168892,0,1,0
15,53.424389081696084,2,0,0
8,97.09122037458219,4,1,0
14,30.65982531337718,2,0,0
23,27.513778173580874,9,1,0
21,92.81887562036033,2,0,0
16,69.54913162061985,9,0,1
18,88.84023964277361,2,0,1
24,63.48273386037462,4,0,1
26,44.64020332391068,4,0,0
25,101.91023176741997,3,0,0
29,99.94158789689793,0,1,0
15,89.46964708544267,4,1,0
1,47.21451372299627,9,1,1
25,79.0230666869087,4,0,0
7,56.09738969400268,3,0,1
9,29.158207332663416,5,1,0
24,111.73135754622427,9,0,1
1,33.68186309189614,3,0,1
8,115.02373538208025,6,0,1
24,64.60057729579557,6,0,1
11,38.513292883861965,1,0,1
17,74.19009473783582,2,1,0
8,107.29458358764083,0,1,0
35,93.22248864095612,7,1,0
35,100.65611478614497,8,1,0
33,85.87833667107174,3,1,0
5,89.22765645178525,5,0,0
28,104.91956515653193,8,0,1
7,44.966800885918595,5,0,0
9,68.94249636431405,8,0,0
8,42.120944181960226,3,1,0
12,118.7668007996647,7,1,0
34,114.40593396866133,8,1,1
33,23.942681136850588,3,0,0
23,90.55751725156884,4,1,1
24,112.52483174156659,7,0,1
35,38.057534512733355,9,1,0
22,76.79452305526294,5,1,0
27,111.54882975880419,6,0,1
35,23.394597858579885,2,0,0
1,89.742026724684,6,1,1
35,49.734900737255074,7,1,0
14,112.43961953765304,9,0,1
3,117.10582451653677,5,1,1
1,114.42664891134339,9,1,1
5,67.42142166574638,8,0,1
26,106.20426509893134,5,1,0
14,104.45493985350704,8,0,1
27,51.91004732432556,3,1,0
9,102.89154741506773,7,0,1
15,23.700763471549262,3,1,1
15,79.6269878482053,1,0,0
26,43.000883728770305,9,1,1
13,32.05668857772788,8,0,1
32,27.695320162920915,4,1,0
32,89.62887758781397,3,1,0
4,53.98749637680661,1,1,0
30,92.47667715287615,0,1,0
23,26.535634079894237,6,1,1
15,51.52903378306103,5,1,1
29,73.94912923753373,1,1,0
13,99.07231648389636,7,1,1
32,51.87525029320699,3,1,0
7,82.58913764370091,7,0,1
22,108.5977748236187,6,0,1
28,81.58631881823045,4,1,0
2,43.29594747536338,9,0,1
6,22.4400781556538,9,1,1
28,107.00988739009298,7,1,1
28,22.126941085038712,8,0,0
20,107.47016726841994,4,1,0
30,72.8937134027212,9,1,1
11,113.90676985128962,4,0,0
28,99.87832357736654,1,0,0
25,119.79341105333374,4,1,0
33,55.071181545171015,2,0,0
1,96.71882889311269,6,0,1
27,60.193091360924214,9,1,0
13,67.98756203039089,4,0,1
3,82.750546321837,7,0,1
6,107.36771141863387,0,1,0
8,118.40834691992951,2,0,0
27,96.82734138645182,2,0,0
9,61.77667821673337,8,1,0
33,62.13570022770702,4,1,0
24,93.75823015888915,8,1,1
15,43.877714576830236,8,0,1
32,31.047411313139467,0,1,0
32,55.462215764077655,1,1,0
24,48.72389916540817,4,0,0
12,49.63081204559901,3,1,0
2,43.36077510499099,9,1,1
3,24.20931896363619,8,1,1
17,21.787393473341382,6,1,0
2,118.77223897360315,5,0,1
2,62.77731337358623,6,1,1
28,58.432664715968166,0,1,0
23,87.96472826930699,0,0,0
32,41.825388786506416,7,1,0
33,114.99611839502253,1,0,0
1,98.6345014415552,9,0,1
19,28.941100231225953,8,0,0
2,61.75807757849284,6,1,1
26,107.91183075621647,5,0,0
32,114.47320222914102,0,0,0
6,66.74015112498697,0,0,0
32,81.34113892107077,1,1,0
4,36.70339460920752,5,1,0
11,119.11686261369765,5,1,0
17,43.16717013834434,1,1,0
24,114.27317741351257,0,1,0
5,84.96466489923685,9,1,1
34,80.77367948788591,4,1,0
6,71.26885110165085,4,0,1
22,43.06698117177587,1,0,0
11,37.65280320055083,5,0,0
16,42.048620907017536,8,0,0
33,38.64382621442545,1,1,0
9,97.95844735667534,9,0,1
6,55.01252591667301,1,0,0
16,25.784267656339637,2,0,0
29,116.91026301408114,6,0,1
3,108.37858849634257,5,1,1
20,112.77522831952129,7,1,0
19,119.49078226464353,7,1,1
26,37.38952492194873,5,0,0
3,59.62420189026587,9,1,1
19,95.82384757040913,2,0,0
20,89.60206180537922,2,1,0
32,35.389590633985506,0,1,0
7,101.58331249906178,6,1,0
33,42.44405718366607,4,1,0
18,42.381761482262306,3,1,0
1,73.69744228934135,9,0,1
11,79.29399348417031,3,1,0
28,78.00862078378111,3,0,0
25,29.148683739775485,5,0,1
23,107.74608626303804,7,0,1
31,46.560004258870606,7,0,0
30,32.95149212828042,4,0,0
35,108.87480798689772,5,1,0
7,115.56514982297534,3,1,0
16,106.21276172654507,8,1,0
26,100.95160747248781,7,1,0
2,85.52419806390218,9,0,1
1,75.08573706091393,9,1,1
12,28.698675991141013,0,1,0
5,60.845321307069874,1,0,0
32,57.2688517012314,8,0,1
9,45.97537837603262,7,1,1
35,92.3420113688585,2,1,0
19,69.58757350787708,7,0,1
16,28.104621590764793,0,1,0
3,42.018320194981136,9,1,1
20,88.32587636595959,3,1,0
24,27.61308594903002,2,1,1
33,105.12069140487687,5,0,0
24,69.51465270139744,6,0,1
11,68.0586577326648,3,0,0
8,79.24077846595176,6,1,1
20,102.46809659251491,8,1,1
35,54.780920790219305,1,1,0
25,87.80161525590636,2,1,0
35,76.5731963995791,4,1,0
25,46.70282701694213,2,0,0
29,107.8629986355158,7,1,0
18,99.74260216069281,9,1,1
18,85.84518346584255,7,0,0
2,105.05817290942419,7,1,1
35,106.72942009598023,8,0,1
16,90.83629767150347,3,0,0
33,103.7013328363672,4,0,0
4,89.74714616692836,4,0,1
33,88.01407717603004,7,0,1
14,81.86113782151843,6,1,0
21,95.27166395576413,8,0,1
20,35.86051052930737,7,0,1
8,108.08707591989284,1,1,0
7,107.1843527745232,9,1,1
3,22.924728303455915,3,0,0
17,102.58167505647627,5,1,0
33,32.88698674734452,1,1,0
12,53.51188542591419,6,0,0
22,94.35082562916078,2,0,1
22,36.07598960483082,2,1,0
30,101.79670241190622,1,0,0
8,103.21341779577419,7,0,1
27,70.74677337608362,5,1,0
27,20.63858717168336,0,0,0
34,48.70381331749128,0,0,0
21,81.69269183757422,6,0,1
30,118.11861780274235,7,0,1
33,83.18135270166684,4,0,0
28,45.98035810641598,4,1,0
33,83.40057030996114,3,1,0
5,73.99853797158555,5,0,1
19,97.98453951511436,5,1,0
4,30.69806388269584,2,0,0
35,96.1027902502028,8,0,0
17,74.12665786761103,6,0,1
28,116.29920038589947,0,0,0
30,54.187216603868606,6,0,1
29,83.26218931339481,4,1,0
6,113.20281055100175,4,1,1
35,30.250972799067924,1,0,0
24,113.72284872364511,3,1,0
29,88.78857223008133,5,0,0
31,26.78370591051719,9,1,0
35,50.096356694681624,6,0,0
33,90.81720886452815,4,1,0
21,26.73506014687717,8,0,1
32,78.21704601762733,2,0,0
23,54.588305695295674,0,1,0
33,82.0915517767477,3,1,0
3,24.574203381251284,8,0,1
18,107.15368061523763,3,1,1
25,117.3488969177397,1,0,0
31,116.88778552856915,9,1,1
3,94.96518317429248,4,1,1
24,33.0086240130632,2,0,0
32,95.82631959290225,8,1,0
22,22.45869164588015,3,1,0
23,22.212355152899725,5,0,0
2,52.36102191495412,1,1,0
27,68.86431904046657,5,0,0
2,97.04074178077931,2,0,0
26,88.32953766065052,8,0,0
17,64.59027063767483,1,0,0
33,47.362666628166586,8,0,1
9,119.71245001577111,4,1,0
29,62.6181302235973,7,0,0
26,65.13870243296755,1,0,0
35,36.36238211916692,5,1,0
25,99.48095487499293,2,1,0
24,89.36822257814886,9,1,1
13,42.07696127887604,4,0,0
7,28.23810456158427,7,0,1
20,88.0499302074713,9,0,0
1,85.45112142811352,0,1,0
8,47.32595269982093,4,0,1
16,115.08635622504103,2,1,0
14,35.10578917809002,3,0,0
12,63.23348010426019,1,1,0
23,114.36159201675989,8,0,1
15,61.97273169261223,2,0,0
28,83.85259476640856,1,0,0
34,59.75943979627943,9,1,0
2,47.421520234867,8,1,0
32,118.39776479598282,6,0,1
23,60.9334006315043,5,0,1
22,109.40992036791344,0,0,0
25,42.99546058910862,4,1,1
22,41.31047040250833,2,0,0
22,23.113408288451136,0,0,0
6,85.1666825375885,3,0,1
15,56.852634372376116,1,0,0
33,106.4358249839637,1,1,0
8,67.32099066915572,2,1,0
5,116.81934279147217,7,0,1
4,38.55255157031211,7,0,1
6,106.86231679556109,6,1,1
32,97.65968527917417,5,1,1
30,97.0921844644052,8,0,1
35,104.47832281168877,3,1,0
16,96.10239909429988,0,1,1
13,82.62203216314154,7,0,0
30,33.12448776823876,6,1,0
19,23.25261794912519,6,1,0
17,112.08478478156869,2,0,1
19,81.6650314520738,3,0,0
