Date,Open,High,Low,Close
04/24/2026,"4,715.60","4,757.10","4,672.20","4,740.90"
04/23/2026,"4,759.20","4,771.30","4,680.10","4,724.00"
04/22/2026,"4,738.70","4,790.80","4,733.10","4,753.00"
04/21/2026,"4,842.40","4,854.80","4,685.80","4,719.60"
04/20/2026,"4,811.80","4,847.90","4,748.00","4,828.80"
04/17/2026,"4,811.80","4,917.70","4,785.90","4,879.60"
04/16/2026,"4,813.60","4,861.30","4,792.10","4,808.30"
04/15/2026,"4,862.70","4,895.40","4,807.90","4,823.60"
04/14/2026,"4,769.30","4,870.30","4,767.40","4,850.10"
04/13/2026,"4,710.00","4,774.40","4,621.00","4,767.40"
04/10/2026,"4,790.50","4,820.00","4,752.70","4,787.40"
04/09/2026,"4,744.80","4,826.00","4,718.60","4,818.00"
04/08/2026,"4,747.20","4,888.00","4,720.60","4,777.20"
04/07/2026,"4,678.60","4,745.70","4,631.90","4,684.70"
04/06/2026,"4,675.00","4,733.10","4,626.20","4,684.70"
04/02/2026,"4,783.00","4,825.90","4,580.40","4,679.70"
04/01/2026,"4,698.40","4,821.00","4,690.00","4,813.10"
03/31/2026,"4,538.90","4,717.60","4,510.00","4,678.60"
03/30/2026,"4,520.00","4,611.40","4,444.70","4,557.50"
03/27/2026,"4,371.80","4,552.10","4,369.10","4,492.50"
03/26/2026,"4,508.90","4,541.60","4,348.20","4,376.30"
03/25/2026,"4,473.50","4,601.00","4,458.20","4,552.30"
03/24/2026,"4,414.80","4,485.60","4,306.30","4,402.00"
03/23/2026,"4,450.00","4,537.10","4,100.00","4,407.30"
03/20/2026,"4,653.90","4,738.20","4,478.40","4,574.90"
03/19/2026,"4,828.00","4,868.70","4,505.00","4,605.70"
03/18/2026,"5,010.60","5,022.00","4,809.30","4,896.20"
03/17/2026,"5,012.20","5,049.40","4,977.00","5,008.20"
03/16/2026,"5,010.00","5,044.50","4,970.10","5,002.20"
03/13/2026,"5,084.00","5,132.40","5,014.10","5,061.70"
03/12/2026,"5,185.40","5,197.80","5,058.20","5,125.80"
03/11/2026,"5,194.00","5,230.90","5,155.90","5,179.10"
03/10/2026,"5,152.40","5,248.70","5,126.90","5,242.10"
03/09/2026,"5,186.70","5,210.40","5,021.20","5,103.70"
03/06/2026,"5,099.70","5,185.00","5,071.00","5,158.70"
03/05/2026,"5,155.70","5,204.30","5,058.90","5,078.70"
