Date,Open,High,Low,Close
06/03/2026,"4,520.00","4,525.10","4,454.00","4,466.90"
06/02/2026,"4,515.80","4,571.30","4,492.30","4,519.90"
06/01/2026,"4,575.20","4,577.30","4,476.00","4,506.30"
05/29/2026,"4,527.60","4,627.10","4,519.50","4,593.00"
05/28/2026,"4,488.00","4,547.10","4,395.60","4,532.40"
05/27/2026,"4,507.40","4,528.10","4,398.50","4,448.40"
05/26/2026,"4,571.60","4,583.30","4,480.00","4,502.30"
05/22/2026,"4,544.20","4,547.00","4,488.00","4,523.20"
05/21/2026,"4,548.00","4,572.40","4,488.30","4,542.50"
05/20/2026,"4,486.60","4,558.40","4,455.00","4,535.30"
05/19/2026,"4,570.60","4,593.20","4,467.10","4,511.20"
05/18/2026,"4,547.60","4,588.60","4,483.50","4,558.00"
05/15/2026,"4,654.50","4,670.10","4,513.80","4,561.90"
05/14/2026,"4,696.80","4,725.80","4,649.30","4,685.30"
05/13/2026,"4,722.30","4,734.80","4,676.00","4,706.70"
05/12/2026,"4,724.10","4,731.00","4,645.20","4,686.70"
05/11/2026,"4,690.00","4,758.40","4,655.10","4,728.70"
05/08/2026,"4,682.50","4,760.40","4,671.00","4,730.70"
05/07/2026,"4,702.20","4,775.20","4,693.30","4,710.90"
05/06/2026,"4,569.30","4,734.60","4,556.10","4,694.30"
05/05/2026,"4,534.00","4,597.50","4,522.70","4,568.50"
05/04/2026,"4,644.00","4,650.60","4,510.10","4,533.30"
05/01/2026,"4,636.90","4,673.00","4,570.00","4,644.50"
04/30/2026,"4,557.00","4,658.80","4,550.80","4,629.60"
04/29/2026,"4,611.40","4,624.30","4,522.20","4,561.50"
04/28/2026,"4,697.50","4,716.50","4,567.60","4,608.40"
04/27/2026,"4,713.10","4,745.80","4,681.20","4,693.70"
